url,season,episode,title,transcript_written_date,transcript_revised_date,aired_date,writers,directors,timestamp
http://www.kacl780.net/frasier/transcripts/season_1/episode_12/miracle_on_3rd_or_4th_street.html,1,12,Miracle On 3rd Or 4th Street,February 2000.,10th March 2003.,16th December 1993.,Christopher Lloyd,James Burrows,2018-04-13 08:33:48
http://www.kacl780.net/frasier/transcripts/season_1/episode_16/the_show_where_lilith_comes_back.html,1,16,The Show Where Lilith Comes Back,20th November 1999,10th March 2003,3rd February 1994,Christopher Lloyd,James Burrows,2018-04-13 08:36:55
http://www.kacl780.net/frasier/transcripts/season_1/episode_17/a_mid_winter_nights_dream.html,1,17,A Mid-Winter Night's Dream,15th February 1999.,13th August 2001.,10th February 1994.,Chuck Ranberg &Anne Flett-Giordano,David Lee,2018-04-13 08:37:08
http://www.kacl780.net/frasier/transcripts/season_1/episode_18/and_the_whimper_is.html,1,18,And The Whimper Is...,19th June 2000.,10th March 2003.,17th February 1994.,Sy Dukane &Denise Moss,James Burrows,2018-04-13 08:37:25
http://www.kacl780.net/frasier/transcripts/season_1/episode_22/author_author.html,1,22,"Author, Author",17th February 1999.,10th March 2003.,5th May 1994.,Don Seigel &Jerry Perzigian,James Burrows,2018-04-13 08:41:43
http://www.kacl780.net/frasier/transcripts/season_1/episode_13/guess_whos_coming_to_breakfast.html,1,13,Guess Who's Coming To Breakfast,April 26th 2000.,10th March 2003.,6th January 1994.,Molly Newman,Andy Ackerman,2018-04-13 21:43:17
http://www.kacl780.net/frasier/transcripts/season_1/episode_14/cant_buy_me_love.html,1,14,Can't Buy Me Love,May 22nd 2000,10th March 2003,20th January 1994,Chuck Ranberg &Anne Flett-Giordano,James Burrows,2018-04-13 21:43:36
http://www.kacl780.net/frasier/transcripts/season_1/episode_15/you_cant_tell_a_crook_by_his_cover.html,1,15,,5th June 2000.,10th March 2003.,27th January 1994.,David Lloyd,Andy Ackerman,2018-04-13 21:43:50
http://www.kacl780.net/frasier/transcripts/season_1/episode_19/give_him_the_chair.html,1,19,Give Him The Chair!,27th June 2000.,10th March 2003.,17th April 1994.,Anne Flett Giordano andChuck Ranberg,James Burrows,2018-04-13 21:44:05
http://www.kacl780.net/frasier/transcripts/season_1/episode_20/fortysomething.html,1,20,Fortysomething,July 2000,10th March 2003,31st March 1994,Sy Dukane andDenise Moss,Rick Beren,2018-04-13 21:44:15
http://www.kacl780.net/frasier/transcripts/season_1/episode_21/travels_with_martin.html,1,21,Travels With Martin,17th February 1999,10th March 2003,14th April 1994,Linda Morris& Vic Rauseo,James Burrows,2018-04-13 21:44:29
http://www.kacl780.net/frasier/transcripts/season_1/episode_23/frasier_cranes_day_off.html,1,23,Frasier Crane's Day Off,21st February 1999.,10th March 2003.,12th May 1994.,Chuck Ranberg& Anne Flett-Giordano,James Burrows,2018-04-13 21:44:47
http://www.kacl780.net/frasier/transcripts/season_1/episode_24/my_coffee_with_niles.html,1,24,My Coffee With Niles,16th February 1999.,10th March 2003.,19th May 1994.,"David Angell,Peter Casey",James Burrows,2018-04-13 21:45:04
http://www.kacl780.net/frasier/transcripts/season_2/episode_1/slow_tango_in_south_seattle.html,2,1,Slow Tango In South Seattle,8th January 2000.,8th February 2003.,20th September 1994.,Martin Weiss,James Burrows,2018-04-13 21:45:18
http://www.kacl780.net/frasier/transcripts/season_2/episode_2/the_unkindest_cut_of_all.html,2,2,The Unkindest Cut Of All,June 4th 2000,8th February 2003,September 27th 1994,Dave Hackel,Rick Beren,2018-04-13 21:45:36
http://www.kacl780.net/frasier/transcripts/season_2/episode_3/the_matchmaker.html,2,3,The Matchmaker,18th February 1999,8th February 2003,4th October 1994,Joe Keenan,David Lee,2018-04-13 21:45:50
http://www.kacl780.net/frasier/transcripts/season_2/episode_4/flour_child.html,2,4,Flour Child,31st December 1999,8th February 2003,11th October 1994,Christopher Lloyd,James Burrows,2018-04-13 21:46:06
http://www.kacl780.net/frasier/transcripts/season_2/episode_5/dukes_we_hardly_knew_ye.html,2,5,"Duke's, We Hardly Knew Ye","September 8, 2000","February 8, 2003",18th October 1994,Linda Morris andVic Rauseo,James Burrows,2018-04-13 21:46:26
http://www.kacl780.net/frasier/transcripts/season_2/episode_6/the_botched_langauge_of_the_cranes.html,2,6,The Botched Language Of Cranes,23rd July 2000,8th February 2003,1st November 1994,Joe Keenan,David Lee,2018-04-13 21:46:43
http://www.kacl780.net/frasier/transcripts/season_2/episode_7/the_candidate.html,2,7,The Candidate,24th July 2000,8th February 2003,8th November 1994,Chuck Ranberg &Anne Flett-Giordano,James Burrows,2018-04-13 21:46:59
http://www.kacl780.net/frasier/transcripts/season_2/episode_8/adventures_in_paradise_1.html,2,8,,9th June 2000,8th February 2003,15th November 1994,Ken Levine& David Isaacs,James Burrows,2018-04-13 21:47:20
http://www.kacl780.net/frasier/transcripts/season_2/episode_9/adventures_in_paradise_2.html,2,9,,9th June 2000,31st May 2001,22nd November 1994,Ken Levine& David Isaacs,James Burrows,2018-04-13 21:47:38
http://www.kacl780.net/frasier/transcripts/season_2/episode_10/burying_a_grudge.html,2,10,Burying A Grudge,31st July 2000,8th February 2003,29th November 1994,David Lloyd,Andy Ackerman,2018-04-13 21:47:54
http://www.kacl780.net/frasier/transcripts/season_2/episode_11/seat_of_power.html,2,11,Seat Of Power,September 2000,8th February 2003,13th December 1994,Steven Levitan,James Burrows,2018-04-13 21:48:15
http://www.kacl780.net/frasier/transcripts/season_2/episode_12/roz_in_the_doghouse.html,2,12,Roz In The Doghouse,31st March 1999,8th February 2003,3rd January 1995,Chuck Ranberg& Anne Flett-Giordano,James Burrows,2018-04-13 21:48:34
http://www.kacl780.net/frasier/transcripts/season_2/episode_13/retirement_is_murder.html,2,13,Retirement Is Murder,"June 9, 2000","February 8, 2003",10th January 1995,Elias David &David Pollock,Alan Myerson,2018-04-13 21:48:51
http://www.kacl780.net/frasier/transcripts/season_2/episode_14/fool_me_once_shame_on_you.html,2,14,"Fool Me Once, Shame On You",31st July 2000,8th February 2003,7th February 1995,Christopher Lloyd,Philip Charles MacKenzie,2018-04-13 21:49:02
http://www.kacl780.net/frasier/transcripts/season_2/episode_15/you_scratch_my_book.html,2,15,You Scratch My Book...,10th June 2000,,14th February 1995,Joe Keenan,Andy Ackerman,2018-04-13 21:49:13
http://www.kacl780.net/frasier/transcripts/season_2/episode_16/the_show_where_sam_shows_up.html,2,16,The Show Where Sam Shows Up,10th August 2000,8th February 2003,21st February 1995,Ken Levine &David Isaacs,James Burrows,2018-04-13 21:49:25
http://www.kacl780.net/frasier/transcripts/season_2/episode_17/daphnes_room.html,2,17,Daphne's Room,19th February 1999,8th February 2003,28th February 1995,"Linda Morris(a.k.a ""A Room With A View"")                 ,Vic Rauseo",David Lee,2018-04-13 21:49:46
http://www.kacl780.net/frasier/transcripts/season_2/episode_18/the_club.html,2,18,The Club,9th August 1999,8th February 2003,21st March 1995,Elias Davis &David Pollock,David Lee,2018-04-13 21:50:00
http://www.kacl780.net/frasier/transcripts/season_2/episode_19/someone_to_watch_over_me.html,2,19,Someone To Watch Over Me,15th June 2000,,XXX,Don Siegel,James Burrows,2018-04-13 21:50:19
http://www.kacl780.net/frasier/transcripts/season_2/episode_20/breaking_the_ice.html,2,20,Breaking The Ice,10th July 2000,8th February 2003,18th April 1995,Steven Levitan,Phillip Charles Mackenzie,2018-04-13 21:50:35
http://www.kacl780.net/frasier/transcripts/season_2/episode_21/an_affair_to_forget.html,2,21,An Affair To Forget,14th November 1999,20th November 2002,2nd May 1995,Chuck Ranberg &Anne Flett-Giordano,Philip Charles,2018-04-13 21:50:51
http://www.kacl780.net/frasier/transcripts/season_2/episode_22/agents_in_america_part_iii.html,2,22,"Agents In America, Part Three",1st June 2000,8th February 2003,2nd May 1995,Joe Keenan,David Lee,2018-04-13 21:51:02
http://www.kacl780.net/frasier/transcripts/season_2/episode_23/the_innkeepers.html,2,23,The Innkeepers,15th June 2000,8th February 2003,16th May 1995,David Lloyd,James Burrows,2018-04-13 21:51:17
http://www.kacl780.net/frasier/transcripts/season_2/episode_24/dark_victory.html,2,24,Dark Victory,12th July 2000,8th February 2003,23rd May 1995,Christopher Lloyd& Linda Morris& Vic Rauseo,James Burrows,2018-04-13 21:51:33
http://www.kacl780.net/frasier/transcripts/season_3/episode_1/shes_the_boss.html,3,1,She's The Boss,18th July 2000,22nd December 2002,19th September 1995,Chuck Ranberg &Anne Flett-Giordano,Philip Charles Mackenzie,2018-04-13 21:51:53
http://www.kacl780.net/frasier/transcripts/season_3/episode_2/shrink_rap.html,3,2,Shrink Rap,30th June 2000,22nd December 2002.,26th September 1995,Christopher Lloyd,David Lee,2018-04-13 21:52:08
http://www.kacl780.net/frasier/transcripts/season_3/episode_3/martin_does_it_his_way.html,3,3,Martin Does It His Way,17th December 1999,22nd December 2002,10th October 1995,David Lloyd,Phillip Charles,2018-04-13 21:52:22
http://www.kacl780.net/frasier/transcripts/season_3/episode_4/leapin_lizards.html,3,4,Leapin' Lizards,30th June 2000,22nd December 2002,31st October 1995,Chuck Ranberg& Anne Flett-Giordano,Phillip Charles,2018-04-13 21:52:35
http://www.kacl780.net/frasier/transcripts/season_3/episode_5/kisses_sweeter_than_wine.html,3,5,Kisses Sweeter Than Wine,6th August 1999,22nd December 2002,7th November 1995,Anne Flett-Giordano,Philip Charles Mackenzie,2018-04-13 21:52:55
http://www.kacl780.net/frasier/transcripts/season_3/episode_6/sleeping_with_the_enemy.html,3,6,Sleeping With The Enemy,6th April 1999,22nd December 2002,14th November 1995,Linda Morris &Vic Rauseo,Jeff Melman,2018-04-13 21:53:07
http://www.kacl780.net/frasier/transcripts/season_3/episode_7/the_adventures_of_bad_boy_and_dirty_girl.html,3,7,The Adventures of Bad Boy and Dirty Girl,18th April 1999,22nd December 2002,21st November 1995,Joe Keenan,Philip,2018-04-13 21:53:18
http://www.kacl780.net/frasier/transcripts/season_3/episode_8/the_last_time_i_saw_maris.html,3,8,The Last Time I Saw Maris,29th October 1999,22nd December 2002,28th November 1995,Ian Gurvitz,Phillip Charles,2018-04-13 21:53:34
http://www.kacl780.net/frasier/transcripts/season_3/episode_9/frasier_grinch.html,3,9,Frasier Grinch,October 1999.,22nd December 2002,19th December 1995,David Lloyd,Philip Charles,2018-04-13 21:53:51
http://www.kacl780.net/frasier/transcripts/season_3/episode_11/the_friend.html,3,11,The Friend,22nd June 2000,22nd December 2002,,Jack Burditt,Philip Charles MacKenzie,2018-04-13 21:54:28
http://www.kacl780.net/frasier/transcripts/season_3/episode_12/come_lie_with_me.html,3,12,Come Lie With Me,,,30th January 1996,Steven Levitan,Philip Charles MacKenzie,2018-04-13 21:54:41
http://www.kacl780.net/frasier/transcripts/season_3/episode_13/moon_dance.html,3,13,Moon Dance,14th February 1999,13th April 2001,06th February 1996,"Joe Keenan, Chris Lloyd,Rob Greenberg, Jack Burditt,Chuck Ranberg, Anne Flett-Giordano,Linda Morris, Vic Rauseo",Kelsey Grammar,2018-04-13 21:54:52
http://www.kacl780.net/frasier/transcripts/season_3/episode_14/the_show_where_diane_comes_back.html,3,14,The Show Where Diane Comes Back,10th December 1999,,,,,2018-04-13 21:55:03
http://www.kacl780.net/frasier/transcripts/season_3/episode_15/a_word_to_the_wiseguy.html,3,15,A Word To The Wiseguy,20th March 1999.,13th May 2001.,20th February 1996.,Joe Keenan,Philip,2018-04-13 21:55:17
http://www.kacl780.net/frasier/transcripts/season_3/episode_16/look_before_you_leap.html,3,16,Look Before You Leap,,,27th February 1996,Chuck Ranberg and Anne Flett-Giordano,James Burrows,2018-04-13 21:55:29
http://www.kacl780.net/frasier/transcripts/season_3/episode_17/high_crane_drifter.html,3,17,High Crane Drifter,23rd August 2000,22nd December 2002,12th March 1996,Jack Burditt,Philip Charles MacKenzie,2018-04-13 21:55:44
http://www.kacl780.net/frasier/transcripts/season_3/episode_18/chess_pains.html,3,18,Chess Pains,29th October 1999,22nd December 2002,26th March 1996,Rob Greenberg,Gordon Hunt,2018-04-13 21:56:01
http://www.kacl780.net/frasier/transcripts/season_3/episode_19/crane_vs_crane.html,3,19,Crane Vs. Crane,20th July 2000,22nd December 2002,9th April 1996,David Lloyd,Philip Charles,2018-04-13 21:56:14
http://www.kacl780.net/frasier/transcripts/season_3/episode_20/police_story.html,3,20,Police Story,,,23rd April 1996,Sy Rosen,Phillip Charles Mackenzie,2018-04-13 21:56:35
http://www.kacl780.net/frasier/transcripts/season_3/episode_21/where_theres_smoke_theres_fired.html,3,21,Where There's Smoke There's Fired,17th October 1999,11th August 2000,30th April 1996,Joe Keenan,Philip,2018-04-13 21:56:48
http://www.kacl780.net/frasier/transcripts/season_3/episode_22/frasier_loves_roz.html,3,22,Frasier Loves Roz,27th February 1999,14th April 2001,7th May 1996,Suzanne Martin,Philip Charles,2018-04-13 21:57:05
http://www.kacl780.net/frasier/transcripts/season_3/episode_23/the_focus_group.html,3,23,The Focus Group,18th July 2000,22nd December 2002,14th May 1996,Rob Greenberg,Philip Charles MacKenzie,2018-04-13 21:57:25
http://www.kacl780.net/frasier/transcripts/season_3/episode_24/you_can_go_home_again.html,3,24,You Can Go Home Again,20th November 1999,22nd December 2002,21st May 1996,Linda Morris& Vic Rauseo,David Lee,2018-04-13 21:57:39
http://www.kacl780.net/frasier/transcripts/season_4/episode_1/the_two_mrs_cranes.html,4,1,The Two Mrs. Cranes,14th February 1999.,12th September 2002.,17th September 1996,Joe Keenan,David Lee,2018-04-13 21:57:55
http://www.kacl780.net/frasier/transcripts/season_4/episode_2/love_bites_dog.html,4,2,Love Bites Dog,29th August 2000,12th September 2002.,24th September 1997,Suzanne Martin,Jeff Melman,2018-04-13 21:58:14
http://www.kacl780.net/frasier/transcripts/season_4/episode_3/the_impossible_dream.html,4,3,The Impossible Dream,20th September 2000.,12th September 2002.,15th October 1996,Rob Greenberg,David Lee,2018-04-13 21:58:25
http://www.kacl780.net/frasier/transcripts/season_4/episode_4/a_cranes_critique.html,4,4,A Crane's Critique,27th July 2000,12th September 2002,22nd October 1996,Dan Cohen &F.J Pratt,Jeff Melman,2018-04-13 21:58:44
http://www.kacl780.net/frasier/transcripts/season_4/episode_5/head_game.html,4,5,Head Game,29th June 2000,12th September 2002,12th November 1996,Rob Greenberg,David Lee,2018-04-13 21:58:59
http://www.kacl780.net/frasier/transcripts/season_4/episode_6/mixed_doubles.html,4,6,Mixed Doubles,17th December 1999,12th September 2002,19th November 1996,Christopher Lloyd,David Lee,2018-04-13 21:59:10
http://www.kacl780.net/frasier/transcripts/season_4/episode_7/a_lilith_thanksgiving.html,4,7,A Lilith Thanksgiving,20th June 2000,13th September 2002,26th November 1996,Anne Flett-Giordano,Jeff Melman,2018-04-13 21:59:26
http://www.kacl780.net/frasier/transcripts/season_4/episode_8/our_father_whose_art_aint_heaven.html,4,8,Our Father Whose Art Ain't Heaven,8th October 2000,13th September 2002,9th December 1996,Michael Kaplan,Jeff Melman,2018-04-13 21:59:46
http://www.kacl780.net/frasier/transcripts/season_4/episode_9/dad_loves_sherry_the_boys_just_whine.html,4,9,,16th July 2000,13th September 2002,7th January 1997,Joe Keenan,James Burrows,2018-04-13 22:00:07
http://www.kacl780.net/frasier/transcripts/season_4/episode_10/liar_liar.html,4,10,Liar! Liar!,14th September 2000,13th September 2002,14th January 1997,Anne Flett-Giordano &Chuck Ranberg,James Burrows,2018-04-13 22:00:28
http://www.kacl780.net/frasier/transcripts/season_4/episode_11/three_days_of_the_condo.html,4,11,Three Days Of The Condo,3rd July 2000,8th August 2001,21st January 1997,Michael Kaplan,David Lee,2018-04-13 22:00:44
http://www.kacl780.net/frasier/transcripts/season_4/episode_12/death_and_the_dog.html,4,12,Death And The Dog,29th October 1999,13th September 2002,11th February 1999,Suzanne Martin,James Burrows,2018-04-13 22:01:05
http://www.kacl780.net/frasier/transcripts/season_4/episode_13/four_for_the_seesaw.html,4,13,Four For The Seesaw,22nd July 2000,13th September 2002,18th February 2001,David Lloyd,Jeff Melman,2018-04-13 22:01:18
http://www.kacl780.net/frasier/transcripts/season_4/episode_14/to_kill_a_talking_bird.html,4,14,To Kill A Talking Bird,13th March 1999.,13th September 2002.,25th February 1997.,Jeffrey Richman,David Lee,2018-04-13 22:01:30
http://www.kacl780.net/frasier/transcripts/season_4/episode_15/rozs_krantz_amp_gouldenstein_are_dead.html,4,15,,9th July 2000.,13th September 2002.,11th March 1997.,William Lucas Walker,Jeff Melman,2018-04-13 22:01:51
http://www.kacl780.net/frasier/transcripts/season_4/episode_16/the_unnatural.html,4,16,The Unnatural,2nd September 2000,13th September 2002,1st April 1997,Michael Kaplan,Pamela Fryman,2018-04-13 22:02:12
http://www.kacl780.net/frasier/transcripts/season_4/episode_17/rozs_turn.html,4,17,Roz's Turn,26th May 1999.,13th September 2002.,15th April 1997.,Joe Keenan,Joyce Gittlin,2018-04-13 22:02:31
http://www.kacl780.net/frasier/transcripts/season_4/episode_18/ham_radio.html,4,18,Ham Radio,27th February 1999.,,22nd April 1997.,David Lloyd,David Lee,2018-04-13 22:02:44
http://www.kacl780.net/frasier/transcripts/season_4/episode_19/three_dates_and_a_break_up_1.html,4,19,,29th May 1999,13th September 2002,29th April 1997,Rob Greenberg,Jeff Melman,2018-04-13 22:02:54
http://www.kacl780.net/frasier/transcripts/season_4/episode_20/three_dates_and_a_break_up_2.html,4,20,,19th June 1999,13th September 2002,29th April 1997,Rob Greenberg,Jeff Melman,2018-04-13 22:03:07
http://www.kacl780.net/frasier/transcripts/season_4/episode_21/daphne_hates_sherry.html,4,21,Daphne Hates Sherry,14th February 1999.,5th August 2001.,6th May 1997.,Chuck Ranberg &Anne Flett-Giordano,Kelsey Grammer,2018-04-13 22:03:28
http://www.kacl780.net/frasier/transcripts/season_4/episode_22/are_you_being_served.html,4,22,Are You Being Served?,14th July 2000,13th September 2002,13th May 1997,William Lucas Walker,Gordon Hunt,2018-04-13 22:03:43
http://www.kacl780.net/frasier/transcripts/season_4/episode_23/ask_me_no_questions.html,4,23,Ask Me No Questions,7th July 2000,13th September 2002,21st May 1997,Dan Cohen& F.J. Pratt,Jeff Melman,2018-04-13 22:04:01
http://www.kacl780.net/frasier/transcripts/season_4/episode_24/odd_man_out.html,4,24,Odd Man Out,2nd September 2000.,13th September 2002.,21st May 1997,Suzanne Martin,Jeff Melman,2018-04-13 22:04:18
http://www.kacl780.net/frasier/transcripts/season_5/episode_1/frasiers_imaginary_friend.html,5,1,Frasier's Imaginary Friend,16th July 2000,2nd June 2001,23rd September 1997,Rob Greenberg,David Lee,2018-04-13 22:04:35
http://www.kacl780.net/frasier/transcripts/season_5/episode_2/the_gift_horse.html,5,2,The Gift Horse,28th July 2000,12th August 2000,30th September 1997,Ron Darian,Pamela Fryman,2018-04-13 22:04:56
http://www.kacl780.net/frasier/transcripts/season_5/episode_3/halloween.html,5,3,Halloween,1st June 2000,2nd June 2001,28th October 1997,Suzanne Martin,Pamela Fryman,2018-04-13 22:05:16
http://www.kacl780.net/frasier/transcripts/season_5/episode_4/the_kid.html,5,4,,1st July 2000,2nd July 2001,4th November 1997,Jeffrey Richman &Suzanne Martin,Jeff Melman,2018-04-13 22:05:31
http://www.kacl780.net/frasier/transcripts/season_5/episode_5/the_1000th_show.html,5,5,The 1000th Show,5th July 2000,3rd June 2001,11th November 1997,Christopher Lloyd &Joe Keenan,David Lee,2018-04-13 22:05:42
http://www.kacl780.net/frasier/transcripts/season_5/episode_6/voyage_of_the_damned.html,5,6,Voyage Of The Damned,1st June 2000,3rd June 2001,18th November 1997,Jeffrey Richman,Pamela Fryman,2018-04-13 22:06:02
http://www.kacl780.net/frasier/transcripts/season_5/episode_7/my_fair_frasier.html,5,7,,17th July 2000,3rd June 2001,25th November 1997,Jay Kogen,Jeff Melman,2018-04-13 22:06:13
http://www.kacl780.net/frasier/transcripts/season_5/episode_8/desperately_seeking_closure.html,5,8,,17th July 2000,3rd June 2001,9th December 1997,Rob Hanning,Pamela Fryman,2018-04-13 22:06:25
http://www.kacl780.net/frasier/transcripts/season_5/episode_9/perspectives_on_christmas.html,5,9,Perspectives On Christmas,2nd January 1999.,15th April 2001.,16th December 1997,Christopher Lloyd,David Lee,2018-04-13 22:06:36
http://www.kacl780.net/frasier/transcripts/season_5/episode_10/where_every_bloke_knows_your_name.html,5,10,,29th March 1999.,,6th January 1998.,Rob Hanning,Jeff Melman,2018-04-13 22:06:54
http://www.kacl780.net/frasier/transcripts/season_5/episode_11/aint_nobodys_business_if_i_do.html,5,11,"Ain't Nobody's Business If ""I Do""",9th July 2000,4th June 2001,13th January 1998,Jay Kogen,David Lee,2018-04-13 22:07:09
http://www.kacl780.net/frasier/transcripts/season_5/episode_12/the_zoo_story.html,5,12,The Zoo Story,28th July 2000,4th June 2001,20th January 1998,Joe Keenan,Pamela Fryman,2018-04-13 22:07:21
http://www.kacl780.net/frasier/transcripts/season_5/episode_13/the_maris_counselor.html,5,13,The Maris Counselor,21st March 1999.,4th June 2001,3rd February 1998.,David Lloyd,Jeff Melman,2018-04-13 22:07:37
http://www.kacl780.net/frasier/transcripts/season_5/episode_14/the_ski_lodge.html,5,14,The Ski Lodge,January 21st 2000,4th June 2001,24th February 1998,Joe Keenan,David Lee,2018-04-13 22:07:56
http://www.kacl780.net/frasier/transcripts/season_5/episode_15/room_service.html,5,15,Room Service,27th March 1999.,4th June 2001.,3rd March 1998.,Ken Levine& David Isaacs,David Lee,2018-04-13 22:08:11
http://www.kacl780.net/frasier/transcripts/season_5/episode_16/beware_of_greeks.html,5,16,Beware Of Greeks,14th July 2000,4th June 2001,17th March 1998,David Lloyd,Jeff Melman,2018-04-13 22:08:32
http://www.kacl780.net/frasier/transcripts/season_5/episode_17/the_perfect_guy.html,5,17,The Perfect Guy,22nd July 2000,5th June 2001,24th March 1998,Rob Greenberg,Jeff Melman,2018-04-13 22:08:50
http://www.kacl780.net/frasier/transcripts/season_5/episode_18/bad_dog.html,5,18,Bad Dog,1st August 2000,5th June 2001,7th April 1998,Suzanne Martin,Pamela Fryman,2018-04-13 22:09:05
http://www.kacl780.net/frasier/transcripts/season_5/episode_19/frasier_gotta_have_it.html,5,19,Frasier Gotta Have It,10th July 2000,5th June 2001,21st April 1998,Rob Greenberg,Dan Butler,2018-04-13 22:09:21
http://www.kacl780.net/frasier/transcripts/season_5/episode_20/first_date.html,5,20,First Date,May 30th 2000,5th June 2001,28th April 2000,Rob Hanning,Kelsey Grammer,2018-04-13 22:09:39
http://www.kacl780.net/frasier/transcripts/season_5/episode_21/roz_and_the_schnoz.html,5,21,Roz And The Schnoz,11th September 1999,5th June 2001,5th May 1998,Jeffrey Richman,Ken Levine,2018-04-13 22:09:50
http://www.kacl780.net/frasier/transcripts/season_5/episode_22/the_life_of_the_party.html,5,22,The Life Of The Party,17th June 2000,5th June 2001,12th May 1998,Suzanne Martin,Jeffrey Richman,2018-04-13 22:10:05
http://www.kacl780.net/frasier/transcripts/season_5/episode_23/party_party.html,5,23,"Party, Party",13th June 2000,5th June 2001,19th May 1998,David Llyod,Jeff Melman,2018-04-13 22:10:16
http://www.kacl780.net/frasier/transcripts/season_5/episode_24/sweet_dreams.html,5,24,Sweet Dreams,19th September 1999,3rd April 2004,19th May 1998,Jay Kogen,Sheldon Epps,2018-04-13 22:10:35
http://www.kacl780.net/frasier/transcripts/season_6/episode_1/good_grief.html,6,1,Good Grief,1999,8th November 2002,24th September 1998,Christopher Lloyd,Pamela Fryman,2018-04-13 22:10:53
http://www.kacl780.net/frasier/transcripts/season_6/episode_2/frasiers_curse.html,6,2,Frasier's Curse,14th November 1999,8th November 2002,1st October 1998,Jay Kogen,Pamela Fryman,2018-04-13 22:11:13
http://www.kacl780.net/frasier/transcripts/season_6/episode_3/dial_m_for_martin.html,6,3,Dial M For Martin,26th July 2000,8th November 2002,8th October 1998,Rob Greenberg,Ken Lamkin,2018-04-13 22:11:28
http://www.kacl780.net/frasier/transcripts/season_6/episode_4/hot_ticket.html,6,4,Hot Ticket,28th June 2000,8th November 2002,15th October 1998,Jeffrey Richman,David Lee,2018-04-13 22:11:46
http://www.kacl780.net/frasier/transcripts/season_6/episode_5/first_do_no_harm.html,6,5,First Do No Harm,30th June 2000,8th November 2002,29th October 1998,Jordan Hawley &William Schifrin,Sheldon Epps,2018-04-13 22:12:00
http://www.kacl780.net/frasier/transcripts/season_6/episode_6/secret_admirer.html,5,5,Secret Admirer,4th July 2000,8th November 2002,5th November 1998,Lori Kirkland,Pamela Fryman,2018-04-13 22:12:20
http://www.kacl780.net/frasier/transcripts/season_6/episode_7/how_to_bury_a_millionaire.html,6,7,How To Bury A Millionaire,3rd April 1999,8th November 2002,12th November 1998,Lori Kirkland,Pamela Fryman,2018-04-13 22:12:34
http://www.kacl780.net/frasier/transcripts/season_6/episode_8/the_seal_who_came_to_dinner.html,6,8,The Seal Who Came To Dinner,28th July 2000,8th November 2001,19th November 1998,Joe Keenan,David Lee,2018-04-13 22:12:48
http://www.kacl780.net/frasier/transcripts/season_6/episode_9/roz_a_loan.html,6,9,"Roz, A Loan",10th July 2000,8th November 2002,10th December 1998,Janis Hirsch,Pamela Fryman,2018-04-13 22:13:08
http://www.kacl780.net/frasier/transcripts/season_6/episode_10/merry_christmas_mrs_moskowitz.html,6,10,"Merry Christmas, Mrs. Moskowitz",,8th November 2002,17th December 1998.,Jay Kogen,Kelsey Grammer,2018-04-13 22:13:28
